State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.974125020423066	0.006862842709208977	0.0019071147702142772	0.006775798503368911	2.2577306425561406E-4	2.6289704410075E-5	7.2329390740613446E-6	0.0	0.00981121289910089	2.5871498730124E-4
2	0.017959024258269868	0.9256299412083325	0.05113039806289578	7.468619585285159E-4	1.2706967733651484E-4	2.6588746682927757E-4	3.241601752067182E-5	0.0	0.003849510116323586	2.58891233963236E-4
3	0.011663314069917455	0.11320736322401163	0.8203134983169221	0.006616527922115953	0.04625846558129135	0.0017951848724992356	8.347137215233338E-5	0.0	0.0	6.217464108982137E-5
4	0.013561800359492301	5.56583320331094E-4	0.0024374296076503585	0.7782600336726057	0.02893004654019261	7.407939797150622E-5	0.03125865145541688	0.011100597222789855	0.13281478411228623	0.0010059943112634142
5	0.0015499105113978106	3.312661681543754E-4	0.06083269978970897	0.10485006899685745	0.7738633221297636	0.05856145784302061	1.1274561097014013E-5	0.0	0.0	0.0
6	1.7693051288898457E-4	8.774483019933473E-4	0.003255994726805697	5.113042479222715E-4	0.07233950431161419	0.8489615099136925	0.07217008725885998	0.0	0.0014407457203831733	2.6647500583991494E-4
7	1.3965083621932562E-4	1.0278740645596653E-4	1.2105630847288175E-4	0.10052207947101807	6.885993837085533E-5	0.05352136146021058	0.7391744440857733	0.06083723560103502	0.040799720157244826	0.0047128047351989956
8	0.0	2.042964120216871E-6	0.0	0.004735383610024254	0.0	0.0	0.008027280775556513	0.9527426089767501	0.03407914113936241	4.135425341865146E-4
9	9.475680651780578E-4	1.3738945230656996E-4	0.0	0.006525711760852969	0.0	1.7116219947823508E-5	6.432749451042188E-4	0.003956036704527963	0.9843182830528255	0.003454619799257006
10	2.185233611980909E-4	1.053696797625368E-4	6.402198838940992E-6	4.4937058292026755E-4	0.0	2.9684547549129043E-5	6.42893898221704E-4	3.9392535828437097E-4	0.030350811578219238	0.9678030187950059
